TitleID,Title,Author,Holding Institution,Year,StartYear,EndYear,Full Publication Details,Place of Publication,Latitude,Longitude,Language,Includes subject,TitleURL
25164,Plantae Selerianae : Die von Dr. Eduard Seler und Frau Caecilie in Mexico und Centralamerica gesammelten Pflanzen,"Seler, Eduard, 1849-1922",University of Connecticut Libraries (archive.org),,1899,,"Genève :Imprimerie Romet,1899.","Geneva, Switzerland",46.2038106,6.1399651,GER,Central America,https://www.biodiversitylibrary.org/bibliography/25164
25244,"Life and nature under the tropics: or, Sketches of travels among the Andes, and on the Orinoco, Rio Negro, and Amazons","Myers, P. V. N. 1846-1937",University of California Libraries (archive.org),,1871,,"New York :D. Appleton and company,1871.","New York, NY",40.7130466,-74.0072301,ENG,South America,https://www.biodiversitylibrary.org/bibliography/25244
25244,"Life and nature under the tropics: or, Sketches of travels among the Andes, and on the Orinoco, Rio Negro, and Amazons","Myers, H. M. (Henry Morris),1872",University of California Libraries (archive.org),,1871,,"New York :D. Appleton and company,1871.","New York, NY",40.7130466,-74.0072301,ENG,South America,https://www.biodiversitylibrary.org/bibliography/25244
25258,Primera parte de los problemas y secretos marauillosos de las Indias,"Cárdenas, Juan de, 1563-1609",Brown University Library (archive.org),,1913,,"México,Imp. del Museo n. de arqueologío, historia, y etnología,1913.","Mexico, Mexico",19.4326080,-99.1332090,SPA,Latin America,https://www.biodiversitylibrary.org/bibliography/25258
25270,Fossil Echini of the West Indies. Stratigraphic significance of the species of West Indian fossil Echini,"Jackson, Robert Tracy, 1861-1948",University of Toronto - Gerstein Science Information Centre,,1922,,WashingtonCarnegie Institution of Washington1922,"Washington, DC ",38.8951100,-77.0363700,ENG,West Indies,https://www.biodiversitylibrary.org/bibliography/25270
25270,Fossil Echini of the West Indies. Stratigraphic significance of the species of West Indian fossil Echini,"Vaughan, Thomas Wayland, 1870-1952",University of Toronto - Gerstein Science Information Centre,,1922,,WashingtonCarnegie Institution of Washington1922,"Washington, DC ",38.8951100,-77.0363700,ENG,West Indies,https://www.biodiversitylibrary.org/bibliography/25270
25451,Journal of researches during the voyage of H.M.S. Beagle.,"Darwin, Charles, 1809-1882",University of Toronto - Gerstein Science Information Centre,,1860,,LondonCollins[1860],"London, England",51.5001524,-0.1262362,ENG,South America,https://www.biodiversitylibrary.org/bibliography/25451
25533,Doctrinas y descubrimientos,"Ameghino, Florentino, 1853-1911",University of Toronto - Gerstein Science Information Centre,,1917,,"Buenos Aires :La Cultura argentina,1917.","Buenos Aires, Argentina",-34.6037220,-58.3815920,SPA,South America,https://www.biodiversitylibrary.org/bibliography/25533
25533,Doctrinas y descubrimientos,"Torcelli, Alfredo J.",University of Toronto - Gerstein Science Information Centre,,1917,,"Buenos Aires :La Cultura argentina,1917.","Buenos Aires, Argentina",-34.6037220,-58.3815920,SPA,South America,https://www.biodiversitylibrary.org/bibliography/25533
25577,"Journal of researches into the natural history and geology of the countries visited during the voyage of H.M.S. Beagle round the world, under the command of Capt. Fitz Roy, R.N","Darwin, Charles, 1809-1882",Williams College Libraries (archive.org),1860,1860,,"London,J. Murray,1860.","London, England",51.5001524,-0.1262362,ENG,South America,https://www.biodiversitylibrary.org/bibliography/25577
