Title,Author,Year,Place of publication,Language,Volume,Page
Birds and all nature  ,"Marble, Charles C.       ",1898,Chicago,English,v.4;v.5 (1898-1899),Page 26
The cannon ball tree : the monkey pots.  ,"Lang, H.       ",1924,Chicago,English,no.6 (1924),Page 3
Comprehensive index to the Flora of Guatemala  ,"Williams, Terua P.       ",1977,Chicago,English,v.24:pt.13 (1977),Page 28
Field Museum of Natural History bulletin.  ,Field Museum of Natural History.       ,1983,Chicago,English,v. 54 (1983),Page 12
Flora of Costa Rica ...  ,"Standley, Paul Carpenter,      1884 -1963",1937,Chicago,English,v.18:pt.2 (1937),Page 763
Flora of Guatemala  ,"Standley, Paul Carpenter,      1884 -1963",1962,Chicago,English,v.24:pt.7:no.2 (1962),Page 261
"Flora of Peru. Part 4, no.1 ","Macbride, J. Francis     (James Francis), 1892 -1976",1941,Chicago,English,v.13:pt.4:no.1 (1941) [Elatinaceae],Page 230
"Flora of the Lancetilla Valley, Honduras  ","Standley, Paul Carpenter,      1884 -1963",1931,Chicago,English,v.10 (1931),Page 298
Guide  ,Field Museum of Natural History.       ,1910,Chicago,English,,Page 115
In the field : the bulletin of the Field Museum of Natural History.  ,Field Museum of Natural History.       ,2017,Chicago,English,v.88:no.3 (2017:Sept.-Dec.),Page 23
J. M. Nickell's Botanical ready reference : especially designed for druggists and physicians ...  ,"Nickell, J. M.       ",1881,Chicago,English,,Page 149
"J.M. Nickell's botanical ready reference : especially designed for druggists and physicians, containing all of the botanical drugs known up to the present time, giving their medical properties, and all of their botanical, common, pharmacopoeal and German common (in German) names  ","Nickell, James Madison.       ",1895,Chicago,,,Page 27
Rapid biological inventories.  ,Field Museum of Natural History.  Environmental and Conservation Programs.     ,2000,Chicago,English,no.1 (2000),Page 31
"Rapid inventories, biological and social.  ",Field Museum of Natural History.       ,2008,Chicago,English,no.20 (2008),Page 374
A revision of Bastin's College botany for the use of students of pharmacy.   ,"Bastin, Edson S.     (Edson Sewell), 1843 -1897",1920,Chicago,English,,Page 167
Some of the causes of decay of Brazil nuts  ,"Spencer, Edwin Rollin,      1881 -",1921,Chicago,English,,Page 289
A study of some characteristics of vegetable oils  ,"McNair, James Birtley,      1889 -1967",1930,Chicago,English,v.9:no.2 (1930),Page 59
Pomona College journal of economic botany as applied to subtropical horticulture.   ,"Pomona College (Claremont, Calif.).  Department of Biology.     ",1911,Claremont,English,v.1:no.1-4  (1911),Page 69
"Report on the geology of Vermont; descriptive, theoretical, economical, and scenographical  ","Lesquereux, LÃ©o,      1806 -1889",1861,Claremont,English,,Page 230
"Annals of the Royal Botanic Gardens, Peradeniya.  ","Royal Botanical Gardens, Peradeniya.       ",1913,Colombo,English,v.5 (1911-1914),Page 422
"A handbook of tropical gardening and planting, with special reference to Ceylon  ","Macmillan, Hugh Fraser.       ",1914,Colombo,English,,Page 144
Annual report of the Canal Zone Plant Introduction Gardens.  ,Canal Zone Plant Introduction Gardens       ,1925,Colon,English,1925-1926,Page 23
The Wilson bulletin.  ,Agassiz Association.  Wilson Ornithological Chapter.     ,1969,Columbus,English,v.81 (1969),Page 368
Det Kongelige Danske videnskabernes selskabs skrifter.  Naturvidenskabelig og mathematisk afdeling.,Kongelige Danske videnskabernes selskab.       ,1898,Copenhagen,Danish,"ser. 6, no. 9 (1898-1901)",Page 307
Tidsskrift for populÃ¦re fremstillinger af naturvidenskaben.  ,,1858,Copenhagen,Danish,5 bd. (1858),Page 122
Videnskabelige meddelelser fra den Naturhistoriske forening i KjÃ¶benhavn.  ,Naturhistoriske forening i KjÃ¸benhavn.       ,1855,Copenhagen,Danish,1854-1856,Page 23
"SIDA, contributions to botany  ","Mahler, William F.       ",2006,Dallas,,v.22 (2006),Page 626
Analytical key to the ferns and flowering plants in the Atlantic section of middle Florida. (Wild and cultivated)  ,"Baerecke, John Frederic,      1851 -1920",1914,DeLand,English,,Page 158
"SÃ©ance Publique de l'AcadÃ©mie des Sciences, Arts et Belles-Lettres de Dijon.  ","AcadÃ©mie des sciences, arts et belles lettres de Dijon (France)       ",1856,Dijon,French,"1856-1857 (Tome 5 - 6, 2nd Series)",Page 182
"Official guide to the Botanic Gardens, Dominica : illustrated : with an index of the principal plants.   ",Botanic Gardens (Dominica)       ,1922,Dominica,English,,Page 34
"Beihefte zum Botanischen Centralblatt.  Abteilung B Systematik, Pflanzengeographie, angewandte Botanik, etc.",,1894,Dresden,German,v.4(1894),Page 537
Hedwigia.  ,,1918,Dresden,,v.59 (1918),Page 76
Nova acta Academiae Caesareae Leopoldino-Carolinae Germanicae Naturae Curiosorum.  ,Kaiserlich Leopoldinisch-Carolinische Deutsche Akademie der Naturforscher.       ,1887,Dresden,German,Bd.49 (1887),Page 201
The natural history review.  ,Belfast Natural History and Philosophical Society.       ,1854,Dublin,English,v.1 (1854),Page 120
Natural history review.    ,,,Dublin,,1,Page 120
Report on Natal Botanic Gardens and Colonial Herbarium for the year ...  ,"Wood, John Medley,      1827 -1915",1903-1904,Durban,English,vol. 1903-1904,Page 16
"Catalogue of medicinal plants, according to their natural orders  ","Duncan, Andrew,   Jun.,   1773 -1832",1826,Edinburgh,English,,Page 5
Class book of botany : being an introduction to the study of the vegetable kingdom  ,"Balfour, John Hutton,      1808 -1884",1854,Edinburgh,English,,Page 811
Physiology at the farm in aid of rearing and feeding the live stock.    ,"Seller, William,      1798 -1869",1867,Edinburgh,English,,Page xix
Physiology at the farm in aid of rearing and feeding the live stock  ,"Stephens, Henry,      1795 -1874",1867,Edinburgh,English,,
Transactions and proceedings of the Botanical Society of Edinburgh.  ,Botanical Society of Edinburgh.       ,1905,Edinburgh,English,v.22-23 (1905-08),Page 308
Transactions of the Scottish Arboricultural Society.    ,Scottish Arboricultural Society.       ,1885,Edinburgh,English,v.11 1885-1887,Page 423
Gartenflora  ,Deutsche Gartenbau-Gesellschaft.       ,1853,Erlangen,German,Jahrg.2 (1853),Page 320
Journal of ethnobiology.  ,"Center for Western Studies (Flagstaff, Ariz.)       ",1992-1993,Flagstaff,English,v. 12-13 1992-93,Page 259
L'Agricoltura coloniale.  ,"Istituto agricolo coloniale (Florence, Italy)       ",1907,Florence,Italian,anno. 9 sem. 1,Page 23
Phytoneuron  ,,2015,Fort Worth,English,2015-13,Page 8
Bericht der Senckenbergischen Naturforschenden Gesellschaft in Frankfurt am Main.  ,Senckenbergische Naturforschende Gesellschaft.       ,1900,Frankfurt,German,1900,
The romance of our trees  ,"Wilson, Ernest Henry,      1876 -1930",1920,Garden City,English,,
La biologie des plantes.    ,"Chodat, R.     (Robert), 1865 -1934",1917,Geneva,French,,Page 176
Bulletin de l'Herbier Boissier.  ,Herbier Boissier.       ,1893,Geneva,French,ser.2 v.4 1904,Page 77
La veÌgeÌtation de la valleÌe du Rio Purus (Amazone).  ,"Huber, J.     (Jacques), 1867 -1914",1906,Geneva,French,,Page 265
"Prof. dr. ThomeÌ's Flora von Deutschland, OÌˆsterreich und der Schweiz, in wort und bild, fuÌˆr schule und haus ... mit ...  ","Migula, Walter,      1863 -",1910,Gera,German,Bd.8 (1910),Page 202
"Flore des serres et des jardins de l'Europe :ou descriptions et figures des plantes les plus rares et les plus meÃŒÂritantes, nouvellement introduites sur le continent ou en Angleterre ...  ","Van Houtte, Louis,      1810 -1876",1845,Ghent,French,v.1 (1845),Page 177
"L'Illustration horticole : journal speÌcial des serres et des jardins, ou choix raisonneÌ des plantes les plus inteÌrressantes sous le rapport ornemental, comprenant leur histoire complete, leur description compareÌe, leur figure et leur culture  ","Lemaire, Charles Antoine,      1801 -1871",1871,Ghent,,v.18 (1871),Page 59
New plants sent out for the first time by the Company in 1883.  ,Henry G. Gilbert Nursery and Seed Trade Catalog Collection.       ,1883,Ghent,English,1883,Page 50
Timehri  ,Royal Agricultural and Commercial Society of British Guiana.       ,1889,Guyana,English,new ser.:v.3 (1889),Page 26
Album der Natuur.  ,"Vries, Hugo de,      1848 -1935",1858,Haarlem,,1858-1859,Page 318
Hamburger Garten- und Blumenzeitung.  ,,1859,Hamburg,German,Jahrg.15 (1859),Page 309
Botanical gazette.  ,,1911,Hanover,English,v.52 (1911),Page 228
"Die fremdlÃ¤ndischen StubenvÃ¶gel ; ihre Naturgeschichte, Pflege, und Zucht  ","Russ, Karl,      1833 -1899",1888,Hanover,German,Bd.4 (1888),Page 221
Repertorium annuum literaturae botanicae periodicae.    ,"Bemmelen, J. A. van.       ",1873,Harlem,Latin,t.4-5,Page 2
Description of the coal flora of the Carboniferous formation in Pennsylvania and throughout the United States ...  ,"Lesquereux, LÃ©o,      1806 -1889",1880,Harrisburg,English,v.1-2 (1880),Page 586
Memorias de la Sociedad Cubana de Historia Natural 'Felipe Poey.'    ,Museo Poey.       ,1917,Havana,Spanish,v.3 1917-1918,Page 139
The Hawaiian forester and agriculturist.  ,Hawaii.  Board of Commissioners of Agriculture and Forestry.     ,1906,Honolulu,English,v.3-4 (1906-1907),
"Biochemie der pflanzen, von dr. phil et med. Friedrich Czapek.    ","Czapek, Friedrich,      1868 -1921",1913,Jena,German,Bd.1,Page 715
Biochemie der Pflanzen  ,"Czapek, Friedrich,      1868 -1921",1922,Jena,German,bd.1 (1922),Page 715
Biochemie der pflanzen.  ,"Czapek, Friedrich,      1868 -1921",1905,Jena,German,Bd.2,Page 158
"Das botanische praktikum, anleitung zum selbststudium der mikroskopischen botanik fÃ¼r anfÃ¤nger und geÃ¼btere, zugleich ein handbuch der mikroskopischen technik.   ","Strasburger, Eduard,      1844 -1912",1923,Jena,German,,Page 133
Botanisches Zentralblatt; referierendes Organ fÃ¼r das Gesamtgebiet der Botanik  ,Association internationale des botanistes.       ,1880,Jena,German,Jahrg.1=Bd.1-4 (1880),Page 1289
Handbuch der pathogenen Mikroorganismen. Unter Mitwirkung von Rudolf Abel [et al.]  Hrsg. von W. Kolle und A. von Wassermann.   ,"Kolle, Wilhelm,      1868 -",1912,Jena,German,v.02 pt.02,Page 1002
