Title,Author,Year,Place of publication,Language,Volume,Page
"Year-book of agriculture; or, The annual of agricultural progress and discovery, for 1855 and 1856.    ","Wells, David A.     (David Ames), 1828 -1898",1856,Philadelphia,,,Page 251
"The Year-book of agriculture, or, The annual of agricultural progress and discovery  ","Wells, David A.     (David Ames), 1828 -1898",1855/1856,Philadelphia,English,1855-1856,Page 251
The Sonoran Quarterly.  ,Desert Botanical Garden (Ariz.)       ,2002,Phoenix,English,v.56 (2002),Page 10
Annals of the Carnegie Museum  ,Carnegie Museum.       ,1934,Pittsburgh,English,v.22 (1933-1934),Page 365
PoatkowÃ© rostlinoslowÃ­.    ,"Presl, Jan Svatopluk,      1791 -1849",1848,Prague,Czech,,Page 360
Vergleichende Morphologie der Pflanzen ...  ,"VelenovskÃ½, J.     (Josef), 1858 -1949",1907,Prague,German,t.1-3 (1905-1910),Page 308
The Great Basin naturalist.  ,Brigham Young University.       ,1966,Provo,English,v.26 (1966),Page 29
Great Basin naturalist memoirs.  ,Brigham Young University.       ,1992,Provo,English,no.13:pt.2:v.B (1992),Page 1254
"Flora oder Botanische Zeitung :welche Recensionen, Abhandlungen, AufsÃ¤tze, Neuigkeiten und Nachrichten, die  Botanik betreffend, enthÃ¤lt  ",KÃ¶nigl. Bayer. Botanische Gesellschaft zu Regensburg.       ,1840,Regensburg,,v.23:no.2 (1840),Page 673
"Stahl's grosses illustriertes KraÌˆuterbuch; ausfuÌˆhrliche Beschreibung aller auf den Bergen und in den ThaÌˆlern, auf den Wiesen und in den WaÌˆldern wild wachsenden Pflanzen und KraÌˆuter ...  ",,1900,Regensburg,German,,Page 132
Archivos do Museu Nacional do Rio de Janeiro.  ,Museu Nacional (Brazil)       ,1916,Rio de Janeiro,Portugese,v.18-19 (1916) [Incomplete],Page 109
A Lavoura : boletim da Sociedade Nacional de Agricultura Brazileira.   ,ConfederaÃ§Ã£o Rural Brasileira.       ,1920,Rio de Janeiro,Portugese,"24-25, 1920-1921",Page 346
Indicador de madeiras e plantas uteis do Brasil  ,"Teixeira da Fonseca, Eurico,      1871 -",1922,Rio de Janeiro,Portugese,,Page 103
Revista do Museu Paulista  ,Museu Paulista       ,1922,São Paulo,Portugese,"13, 1922",Page 722
RodriguÃ©sia: Revista do Jardim BotÃ¢nico do Rio de Janeiro  ,,1937,Rio de Janeiro,Portugese,"2, 1936",Page 143
"Atas do simpÃ³sio sobre a biota amazÃ´nica BelÃ©m, ParÃ¡, Brasil, Junho 6-11, 1966  ","Lent, Herman       ",1967,Rio de Janeiro,Portugese,"4, 1967",Page 129
PublicaÃ§Ãµes Avulsas do Museu Paraense EmÃ­lio Goeldi  ,,1972,Belém,Portugese,"no 17, 1972",Page 57
The Caribbean forester.  ,"Burke, Lauretta Marie       ",1939,Río Piedras,English,v.21,Page 57
Rendiconti  ,"Accademia nazionale dei Lincei.  Classe di scienze fisiche, matematiche e naturali.     ",1892,Rome,Italian,ser.5:v.1:sem.2 (1892),Page 355
"Journal of the Essex County natural history society; containing various communications to the society. [v. 1, no. 1-3; 1836-52].   ",Essex County Natural History Society.       ,1852,Salem,English,,Page 39
The California horticulturist and floral magazine.    ,"Stephens, C.       ",1870,San Francisco,English,v.1-2 (1870-72),Page 316
The California horticulturist and floral magazine.   ,Bay District Horticultural Society       ,1870,San Francisco,English,2,Page 316
BoletiÌn  ,EstacioÌn Experimental AgronoÌmica de Santiago de las Vegas (Cuba)       ,1913,Santiago de las Vegas,Spanish,v.21-27 (1913-1916),Page 30
Boletim do Museu Paraense EmÃ­lio Goeldi  ,Museu Paraense       ,1988,Belém,Portugese,"4, no 2, 1988",Page 217
Arboretum amazonicum iconographia dos mais importantes vegetaes espontaneos e cultivados da regiÃ£o amazÃ´nica  ,"Huber, Jacques       ",1988,Pará,Multiple,"v 1 no5, 1988",Page 48
Agricultural bulletin of the Straits and Federated Malay States. New series.  ,,1902,Singapore,English,new ser.:v.1,Page 501
"[Annual report of the Director of Gardens, for the year 1935 to 1939]  ",Straists Settlements.  Gardens Department.     ,1935,Singapore,English,,9
"Annual report on the botanic gardens, Singapore, for the year 1879-1890.  ",Straits Settlements.  Botanic Gardens.     ,1879,Singapore,English,,6
The Botanic Gardens Singapore : illustrated guide  ,"Burkill. I. H.     (Isaac Henry), 1870 -1965",1927,Singapore,English,,54
"The Gardens' bulletin, Singapore.  ",,1978,Singapore,English,[ser.4]:v.31,Page 106
The Gardens' bulletin; Straits Settlements.  ,,1913,Singapore,English,ser.3:v.1,Page 5
Index of plants. 1912.   ,"Anderson, James Webster.       ",1912,Singapore,English,,
Journal of the Straits Branch of the Royal Asiatic Society.  ,Royal Asiatic Society of Great Britain and Ireland.  Malaysian Branch.     ,1886,Singapore,English,no.17-18(1886),Page 318
Report  ,Singapore Agri-Horticultural Society.       ,1866,Singapore,English,,6
Annals of the Missouri Botanical Garden  ,Missouri Botanical Garden.       ,1958,St. Louis,,v.45 (1958),Page 116
Late Cretaceous and Cenozoic history of Latin American vegetation and terrestrial environments  ,Missouri Botanical Garden.       ,2010,St. Louis,English,2010 [series v. 113],Page 274
Manual de plantas de Costa Rica  ,"Hammel, Barry Edward,      1946 -",2007,St. Louis,Spanish,v. 6 [series v. 111],Page 185
Missouri Botanical Garden bulletin.  ,Missouri Botanical Garden.       ,2003,St. Louis,,v.91 (2003),Page 25
Transactions of the Academy of Science of St. Louis.  ,Academy of Science of St. Louis.       ,1856-1860,St. Louis,English,v.1 (1856-1860),Page 143
"A descriptive catalog of flowering tropical trees : grown from seed imported from all over the world, and now available for your own garden in Florida  ","Menninger, Edwin A.     (Edwin Arnold), 1896 -1995",1944,Stuart,English,1944,Page 26
Allgemeine Naturgeschichte fÃ¼r alle StÃ¤nde  ,"Oken, Lorenz,      1779 -1851",1833,Stuttgart,German,Bd.2: Botanik pt.1,Page 331
Anleitung zur Kenntniss der natuÌˆrlichen Familien der Phanerogamen : ein Leitfaden zum Gebrauch bei Vorlesungen und zum Studium der speciellen Botanik  ,"Schmidt, Johann Anton,      1823 -1905",1865,Stuttgart,German,,Page 86
Ansichten der Natur : mit wissenschaftlichen ErlÃ¤uterungen  ,"Humboldt, Alexander von,      1769 -1859",1849,Stuttgart,German,,Page 260
"Botanische JahrbuÌˆcher fuÌˆr Systematik, Pflanzengeschichte und Pflanzengeographie.  ","Engler, Adolf,      1844 -1930",1902,Stuttgart,German,v.30(1902),Page 56
"Botanische JahrbÃ¼cher fur Systematik, Pflanzengeschichte und Pflanzengeographie  ","Engler, Adolf,      1844 -1930",1895,Stuttgart,German,Bd.19 (1895),Page 671
Deutsches Magazin fuÌˆr Garten- und Blumenkunde.  ,"Neubert, Wilhelm.       ",1854,Stuttgart,German,1854,Page 356
Gesammelte Werke.    ,"Humboldt, Alexander von,      1769 -1859",1889,Stuttgart,German,7-Sep,Page 241
Gesammelte werke von Alexander von Humboldt.    ,"Humboldt, Alexander von,      1769 -1859",1889,Stuttgart,German,7,Page 241
"Lehrbuch der praktischen Pflanzenkunde in Wort und Bild : fuÌˆr Schule und Haus, fuÌˆr Gebildete aller StaÌˆnde : mit uÌˆber 1000 Abbildungen auf 60 colorirten Tafeln in Doppelfolio und 214 Holzschnitten  ","Hoffmann, Carl,      1802 -1883",1880,Stuttgart,German,,Page 104
PopulÃ¤re Botanik oder gemeinfassliche Anleitung zum Studium der Pflanze und des Pflanzenreiches.  Zugleich ein Handbuch zum Bestimmen der Pflanzen auf Excursionen.  ,"Schmidlin, Eduard,      1808? -1890",1857,Stuttgart,German,,Page 660
Zeitschrift fÃ¼r Pflanzenkrankheiten.    ,,1891,Stuttgart,German,v.24 1914,Page 410
Zeitschrift fÃ¼r wissenschaftliche Mikroskopie und mikroskopische Technik.  ,,1916,Stuttgart,German,bd. 33 (1916),Page 15
Proceedings of the Linnean Society of New South Wales  ,Linnean Society of New South Wales.       ,1920,Sydney,English,v.44=no.173-176 (1919-1920) [Incomplete],Page xi
A dictionary of plant names  ,Hollandsche Maatschappij der Wetenschappen.       ,1911,The Hague,English,v. 1,Page 170
èµ„æºæ¤ç‰©äº‹å…¸ = Shokubutsu jiten  ,"Shibata, Keita,      1877 -1949",1957,Tokyo,Japanese,,Page 900
Report of the Fruit Growers' Association of Ontario for the year ....  Report of the Entomological Society of Ontario for the year ...  ,Entomological Society of Ontario.       ,1883,Toronto,English,1883,Page 285
The world's commercial products : a descriptive account of the economic plants of the world and of their commercial uses  ,"Freeman, William George,      1874 -",1907,Toronto,English,,Page 278
Mitteilungen der Deutschen dendrologischen gesellschaft.  ,Deutsche Dendrologische Gesellschaft.       ,1912,Trebbin,German,no.21-23 (1912-1914),Page 238
Bollettino della SocietÃ  adriatica di scienze naturali in Trieste.  ,SocietÃ  adriatica di scienze naturali in Trieste.       ,1878,Trieste,Italian,v.3-4 (1878-1879),Page 12
"Bulletin of the Department of Agriculture, Trinidad and Tobago.    ",Trinidad and Tobago.  Dept. of Agriculture.     ,1920,Trinidad and Tobago,English,"19-20, 1920-1922",Page 3
Arnaldoa : revista del Herbario HAO.  ,Herbario HAO.       ,2009,Trujillo,Spanish,v.16:no.1-2 (2009),Page 83
"Das grosse illustrirte KrÃ¤uter-Buch : eine ausfÃ¼hrliche Beschreibung aller Pflanzen, mit genauer Augabe ihres Gebrauchs, Nutzens und ihrer Wirkung in der Arzneikunde.  ","Mueller, Ferdinand von,      1825 -1896",1860,Ulm,German,,Page 585
Illinois biological monographs.  ,University of Illinois at Urbana-Champaign.       ,1997,Urbana,English,no.58 (1997),Page 50
"Annual report / Department of Agriculture, Seychelles Islands  ",Seychelles.  Department of Agriculture     ,1911,Victoria,English,1911,Page 4
"Angewandte Pflanzenanatomie : ein Handbuch zur Studium des anatomischen Baues der in der Pharmacie, den Gewerben, der Landwirthschaft und dem Haushalte benutzten pflanzlichen Rohstoffe  ","Tschirch, A.     (Alexander), 1856 -1939",1889,Vienna,German,,Page 72
Annalen des K.K. Naturhistorischen Hofmuseums.  ,"K.K. Naturhistorisches Hofmuseum (Vienna, Austria)       ",1891,Vienna,German,Bd. 6 (1891),Page 53
Des Freiherrn Alexander von Humboldt und AimÃ© Bonpland Reise in die Aequinoctial-Gegenden des neuen Continents : fÃ¼r die reifere Jugend zur belehrenden Unterhaltung bearbeitet  ,"Humboldt, Alexander von,      1769 -1859",1844,Vienna,German,Bdchn.4 c.1,Page 77
Oesterreichische botanische Zeitschrift.  ,,1877,Vienna,German,v.27 1877,Page 386
Die offizinellen Pflanzen und Drogen :eine systematische Ãœbersicht Ã¼ber die in sÃ¤mtlichen Staaten Europas sowie in Japan und den Vereinigten Staaten von Amerika offizinellen Pflanzen und Drogen mit kurzen erlÃ¤uternden Bemerkungen  ,"Mitlacher, Wilhelm,      1872 -1913",1912,Vienna,,,Page 59
"Pharmakognosie :ein Lehr- und Handbuch fÃ¼r Studierende, Apotheker, Drogisten, SanitÃ¤tsbeamte und Aerzte  ","Vogl, A. E.     (August Emil), 1833 -1909",1892,Vienna,,,Page 553
"Sitzungsberichte. Abt. 1 Mineralogie, Krystallographie, Botanik, Physiologie der Pflanzen, Zoologie, PalaÌˆontologie, Geologie, physische Geographie und Reisen",Kaiserl. Akademie der Wissenschaften in Wien.  Mathematisch-Naturwissenschaftliche Klasse.     ,1906,Vienna,German,Bd.115 (1906),Page 563
Verhandlungen der Kaiserlich-KÃ¶niglichen Zoologisch-Botanischen Gesellschaft in Wien.  ,Zoologisch-Botanische Gesellschaft in Wien.       ,1916,Vienna,German,Bd.66 (1916),Page 493
Wiener illustrirte Garten-Zeitung.    ,Kaiserlich-KÃ¶nigliche Gartenbau-Gesellschaft in Wien.       ,1889,Vienna,German,jahr.14 1889,
A bibliography of plant pathology in the tropics and in Latin America  ,"Allen, Jessie M.     (Jessie May)  ",1951,Washington,English,no.14,Page 70
Catalogue of economic plants in the collection of the U. S. Department of Agriculture.   ,United States.   Department of Agriculture.     ,1891,Washington,English,,
Catalogue of economic plants in the collection of the U. S. Department of Agriculture.  ,"Saunders, William,      1822 -1900",1891,Washington,English,,Page 9
Catalogue of economic plants in the collection of the U.S. Department of Agriculture  ,"Saunders, William,      1836 -1914",1891,Washington,English,,
Contributions from the United States National Herbarium  ,United States.  National Herbarium.     ,1903-1905,Washington,English,v.8 (1903-1905),Page 91
Descriptive catalogue of plants in the exotic collection of the Department of Agriculture.   ,"Saunders, William,      1836 -1914",1872,Washington,English,no.6,Page 12
Diseases of fruit and nut crops in the United States in 1921  ,United States.  Plant Disease Survey.     ,1922,Washington,English,v.20,Page 137
Economic plants of Porto Rico  ,"Cook, O. F.     (Orator Fuller), 1867 -1949",1903,Washington,English,,Page 95
Experiment station record.    ,United States.  Office of Experiment Stations.     ,1900,Washington,English,"12, 1900-1901",Page 78
The families of flowering plants.   ,"Pollard, Charles Louis,      1872 -",1900,Washington,English,,
"The forests of continental Latin America, including European possessions : a bibliography of selected literature, 1920-1950  ","Flick, Frances J.     (Frances Josephine), 1916 -",1952,Washington,English,no.18,Page 158
Glossary of botanical terms commonly used in range research  ,United States.   Department of Agriculture.     ,1950,Washington,English,no.110,Page 22
Journal of forestry.    ,Society of American Foresters.       ,1918,Washington,English,v.16 (1918),Page 511
The Journal of heredity.  ,American Genetic Association.       ,1914,Washington,English,v. 5 (1914),Page 181
List of intercepted plant pests  ,United States.  Agricultural Research Service.     ,1931,Washington,English,1964-1970,Page 21
Papers on hortcultural and kindred subjects  ,United States.   Department of Agriculture.     ,1891,Washington,English,,Page 97
Pesticides documentation bulletin.  ,National Agricultural Library (U.S.)       ,1965,Washington,English,v.3:no.25,Page 67
Plant immigrants.  ,United States.  Office of Foreign Seed and Plant Introduction.     ,1916,Washington,English,no.124 (1916:Aug.),Page 1034
Report of the Commissioner of Agriculture ...  ,United States.   Department of Agriculture.     ,1863,Washington,English,1870,Page 14
Smithsonian contributions to botany  ,Smithsonian Institution.       ,2016,Washington,English,no.104 (2016),Page 39
Studies on the digestibility of some nut oils  ,"Holmes, Arthur Dunham,      1884 -",1918,Washington,English,no.630 (1918),Page 8
A study of nuts with special reference to microscopic identification.  ,"Young, William J.       ",1912,Washington,English,,Page 29
American forests.  ,American Forestry Association.       ,1919,Washington,English,v.25:pt.1 (1919),Page 782
Annual report of the Bureau of American Ethnology to the Secretary of the Smithsonian Institution.  ,Smithsonian Institution.       ,1924,Washington,English,38th (1916-1917),Page 220
Bulletin of the U.S. Department of Agriculture.  ,United States.   Department of Agriculture.     ,1917,Washington,English,no.626-650 (1917-1920),Page 8
"A descriptive catalogue of useful fiber plants of the world, including the structural and economic classifications of fibers.  ","Dodge, Charles Richards,      1847 -1918",1897,Washington,English,no.9,Page 83
A descriptive catalogue of useful fiber plants of the world : including the structural and economic classifications of fibers  ,"Dodge, Charles Richards,      1847 -1918",1897,Washington,English,,Page 83
"Nut culture in the United States, embracing native and introduced species  ",United States.  Division of Pomology.     ,1896,Washington,English,,Page 7
Proceedings.    ,American Forestry Association.       ,1882,Washington,English,"01-02, 04-06",Page 53
"Einleitung in das natÃ¼rliche System der Botanik; oder, Systematische Uebersicht der Organisation, natÃ¼rlichen Verwandtschaften und geographischen Verbreitung des ganzen Pflanzenreichs, nebst Angabe des Nutzens der wichtigsten Arten in der Heilkunde, den KÃ¼nsten und der Haus- und Feldwirtschaft.  ","Lindley, John,      1799 -1865",1833,Weimar,German,,Page 493
Notizen aus dem Gebiete der Natur- und Heilkunde.  ,,1847,Weimar,German,Bd.5-9 1848-1849,Page 100
"Catalogue of the Colonial Museum, Wellington, New Zealand.  ",Colonial Museum (N.Z.)       ,1870,Wellington,,1870,Page 204
Die Gefiederte Welt  ,,1916,Wiesbaden,German,jahrg.45 (1916),Page 5
"Botanisches Hilfsbuch fÃ¼r Pflanzer, Kolonialbeamte, Tropenkaufleute und Forschungsreisende.  ","Winkler, Hubert,      1875 -1941",1912,Wismar,German,,Page 40
"EncyclopÃ¦die der Naturwissenschaften. Abt. 2, T. 2 HandwÃ¶rterbuch der Pharmakognosie des Pflanzenreichs","Wittstein, Georg Christian,      1810 -1887",1882,Wrocław,German,,Page 628
Handbuch der Botanik  ,"Schenk, A.     (August), 1815 -1891",1879,Wrocław,German,Bd.3 2,Page 572
HandwoÌˆrterbuch der Pharmakognosie des Pflanzenreichs  ,"Wittstein, Georg Christian,      1810 -1887",1882,Wrocław,,,Page 628
Jahres-Bericht der Schlesischen Gesellschaft fÃ¼r VaterlÃ¤ndische Cultur.  ,"Herrick, Francis Hobart,      1858 -1940",1856,Wrocław,German,Bd.34 (1856),Page 91
Schule der systematischen Botanik.  ,"Hallier, Ernst,      1831 -1904",1878,Wrocław,German,,Page 247
Glasnik Hrvatskoga naravoslovnoga drusÌŒtva.  ,Hrvatsko prirodoslovno drusÌŒtvo.       ,1892,Zagreb,Croation,Godina 7-8 (1892-1896),Page 42
Berichte der Schweizerischen Botanischen Gesellschaft = Bulletin de la SocieÌteÌ botanique Suisse.  ,Schweizerische Botanische Gesellschaft.       ,1891,Zürich,French,26-29,
The American quarterly journal of agriculture and science.  ,,1845,,English,v.1-2 1845,Page 226
Amtlicher Bericht Ã¼ber die Versammlung Deutscher Naturforscher und Aerzte.  ,Gesellschaft Deutscher Naturforscher und Ã„rzte.       ,1838,,,v.18-19(1840-1841),Page 174
Annual reports and proceedings of the Belfast Naturalists' Field Club . New series. ,Belfast Naturalists' Field Club.       ,1907,,English,"ser ll, vol VI (1907-1913)",Page 42
Botany : current literature.  ,United States.  Bureau of Plant Industry. Library.     ,1919,,English,1919,Page 2
"Bulletin scientifique, historique et litteÌraire du DeÌpartement du Nord et des pays voisins.  ",,1869,,French,t.1-2(1869-1870),Page 13
Commercialization of non-timber forest products. Factors influencing success. Lessons learned from Mexico and Bolivia and policy implications for decision- makers. UNEP-WCMC Biodiversity Series 23.  ,,2006,,English,2006,Page 132
"Conservation and sustainable management of trees, report of the second regional workshop, held at CATIE, Turrialba, Costa Rica, 18-20 November 1996  ",WCMC       ,1996,,English,1996,Page 8
The Conservation Atlas of Tropical Forests: the Americas  ,,1996,,English,1996,Page 230
Contribution to an evaluation of tree species using the new CITES Listing Criteria  ,WCMC       ,1998,,English,1998,Page 150
A Directory of Neotropical Wetlands.  ,,1986,,English,1986,Page 59
e la han zhong zhi zhi wu ming chen (shi yong ben )  ,Zhongguo ke xue yuan bian yi chu ban wei yuan hui ming ci shi bian       ,,,,,Page 283
Global Biodiversity: status of the Earth's living resources  ,,1992,,English,1992,Page 346
Handbook of plants and general horticulture.   ,"Henderson, Peter.       ",1890,,English,,Page 277
IUCN Directory of Neotropical Protected Areas  ,,1982,,English,1982,Page 310
la han zhong zi zhi wu ming chen  ,Zhongguo ke xue yuan bian yi chu ban wei yuan hui ming ci shi bian ding       ,,,,,Page 21
la han zhong zi zhi wu ming chen (bu bian)  ,Zhongguo ke xue yuan bian yi chu ban wei yuan hui ming ci shi       ,,,,,Page 21
The Last Rain Forests  ,,1990,,English,1990,Page 81
Pamphlets on silviculture.    ,,1899,,English,13,Page 1134
Plant Form  ,"Bell, Adrian D.       ",1991,,English,,Page 159
Proceedings of the Botanical Society of London.  ,Botanical Society of London.       ,1839,,English,v.1(1839),Page 71
Proceedings of the Literary and Philosophical Society of Liverpool.  ,Literary and Philosophical Society of Liverpool.       ,1849,,,no. 6 (1849-1851),Page 132
Rare Tropical Timbers  ,,1988,,English,1988,Page 9
Recueil des Actes de la SÃ©ance Publique de l'AcadÃ©mie Imperiale des Sciences de St.Petersbourg.    ,Imperatorskaiï¸ aï¸¡ akademiÌ„iï¸ aï¸¡ nauk (Russia)       ,1838,,,Nov-15,Page 162
shuang zi ye zhi wu fen lei  ,Zhong hua jiao yu wen hua ji jin dong shi hui bian yi wei yuan hui ä¸­åŽæ•™è‚²æ–‡åŒ–åŸºé‡‘è‘£äº‹ä¼šç¼–è¯‘å§”å‘˜ä¼š       ,,,,,Page 300
shuang zi ye zhi wu ke zhi  ,di de xun       ,,,,,Page 127
TraitÃ© de botanique  ,"Van Tieghem, Phillippe Ã‰douard LÃ©on,      1839 -1914",1892,,French,,Page 503
Verhandlungen der Allgemeinen Schweizerischen Gesellschaft fur die Gesamten Naturwissenschaften.    ,Allgemeine Schweizerische Gesellschaft fÃ¼r die Gesamten Naturwissenschaften.       ,1834,,,[19] - Session 23,Page 92
[William Bull (Firm) materials]  ,Liberty Hyde Bailey Hortorium.  Ethel Z. Bailey Horticultural Catalogue Collection.     ,1886,,English,1886,Page 85
you hua zhi wu ke zhi shuang zi ye zhi wu  ,"Hutchinson, J.     (John) 1884 -1972",,,,1,Page 279
zhong guo zhong zi zhi wu fen lei xue  ,zheng mian       ,1959,,Chinese,zhong(2),Page 815
