Words,POS,Frequency
Machadinho,ProperNoun,1
Macuna,ProperNoun,1
Madagascar,ProperNoun,1
Magalhães,ProperNoun,1
Malacostraca,ProperNoun,1
Mammals,ProperNoun,1
Mapuche,ProperNoun,1
Mar,ProperNoun,1
Marari,ProperNoun,1
Mari,ProperNoun,1
Mariano,ProperNoun,1
Mariliasuchus,ProperNoun,1
Marquesas,ProperNoun,1
Marsupialia,ProperNoun,1
Martius,ProperNoun,1
Matto,ProperNoun,1
Maxilla,ProperNoun,1
Melastomataceae,ProperNoun,1
Memorabilia,ProperNoun,1
Mice,ProperNoun,1
Middle,ProperNoun,1
Minnesota,ProperNoun,1
Miocene,ProperNoun,1
Missouri,ProperNoun,1
Mojo,ProperNoun,1
Monkeys,ProperNoun,1
Monoeca,ProperNoun,1
Monte,ProperNoun,1
Morganella,ProperNoun,1
Morphology,ProperNoun,1
Morro,ProperNoun,1
Moths,ProperNoun,1
Mucug,ProperNoun,1
Muridae,ProperNoun,1
Myrtaceae,ProperNoun,1
N.S.W.,ProperNoun,1
Nahuel,ProperNoun,1
Natterer,ProperNoun,1
Naturgeschichte,ProperNoun,1
Naturhistoriska,ProperNoun,1
Naval,ProperNoun,1
Navio,ProperNoun,1
Netherlands,ProperNoun,1
Neuroanatomy,ProperNoun,1
Nevada,ProperNoun,1
Nicolas,ProperNoun,1
Noctilio,ProperNoun,1
Norfolk,ProperNoun,1
Noronha,ProperNoun,1
Novae,ProperNoun,1
Nuka,ProperNoun,1
Ohio,ProperNoun,1
Oklahoma,ProperNoun,1
Old,ProperNoun,1
Oligoryzomys,ProperNoun,1
Oonopidae,ProperNoun,1
Orchids,ProperNoun,1
Orta,ProperNoun,1
P,ProperNoun,1
PEIXES,ProperNoun,1
PERIODICAS,ProperNoun,1
PUBLICACIONES,ProperNoun,1
Parasites,ProperNoun,1
Parasitology,ProperNoun,1
ParaÌ,ProperNoun,1
Paraíba,ProperNoun,1
Pará,ProperNoun,1
Pascoal,ProperNoun,1
Pastures,ProperNoun,1
Patagonians,ProperNoun,1
Paulista,ProperNoun,1
Peninsula,ProperNoun,1
Pennington,ProperNoun,1
Peppers,ProperNoun,1
Pharmacopoeias,ProperNoun,1
Pharmacy,ProperNoun,1
Philipp,ProperNoun,1
Photograph,ProperNoun,1
Phycomycetes,ProperNoun,1
Phyllomys,ProperNoun,1
Phyllostomidae,ProperNoun,1
Pigafetta,ProperNoun,1
Pirapora,ProperNoun,1
Plata,ProperNoun,1
Podocnemididae,ProperNoun,1
Poisons,ProperNoun,1
Polynesia,ProperNoun,1
Pomba,ProperNoun,1
Port,ProperNoun,1
Porvenir,ProperNoun,1
Poços,ProperNoun,1
Prinz,ProperNoun,1
Protection,ProperNoun,1
Protosiris,ProperNoun,1
Provenance,ProperNoun,1
Public,ProperNoun,1
Pucallpa,ProperNoun,1
Puinave,ProperNoun,1
Punta,ProperNoun,1
Puritans,ProperNoun,1
Purus,ProperNoun,1
Quaternary,ProperNoun,1
R,ProperNoun,1
Ramos,ProperNoun,1
Records,ProperNoun,1
Religion,ProperNoun,1
Reptilia,ProperNoun,1
Rerum,ProperNoun,1
Research,ProperNoun,1
Rhadinella,ProperNoun,1
Robert,ProperNoun,1
Rodrigues,ProperNoun,1
Rondon,ProperNoun,1
Rudolf,ProperNoun,1
Ruschenberger,ProperNoun,1
Russel,ProperNoun,1
Russia,ProperNoun,1
Salaverry,ProperNoun,1
Salinópolis,ProperNoun,1
Saltpeter,ProperNoun,1
San,ProperNoun,1
Santanichthys,ProperNoun,1
Sassafras,ProperNoun,1
Satire,ProperNoun,1
Saudi,ProperNoun,1
Scelionidae,ProperNoun,1
Schinz,ProperNoun,1
Schmitt,ProperNoun,1
Scholarship,ProperNoun,1
Schulte,ProperNoun,1
Scrapbooks,ProperNoun,1
Sebastião,ProperNoun,1
Seniergues,ProperNoun,1
Sergipe,ProperNoun,1
