TitleID,Listed subjects
95450,Bahia ; Field notes ; Botany ; Una ; Ilhus ; Itacar ; Brazil
95451,Botany ; Field notes ; Bahia ; Belmonte ; Una ; Brazil
95487,"Field notes ; Jaguaquara ; Bahia ; Botany ; Brazil ; Jequiri, Rio ; Itaju do Colnia"
95489,Jaguaquara ; Bahia ; Botany ; Brazil ; Ibirataia ; Field notes
95490,"Monte Pascoal, Parque Nacional de ; Botany ; Brazil ; Itacar ; Ubaitaba ; Bahia ; Field notes"
95491,"Una ; Botany ; Bahia ; Field notes ; Marari, Rio ; Brazil"
95658,"1832-1867 ; Maximilian, ; Emperor of Mexico, ; Botany ; Brazil"
96041,"Chile ; 1807-1895 ; South America ; Slave trade ; Travel ; Ruschenberger, W. S. W ; Blacks ; Peru ; Bolivia ; (William Samuel Waithman), ; Brazil ; Description and travel"
96931,Brazil ; Mexico ; Field notes ; Botany
96937,"Rio de Janeiro ; Pernambuco ; Paulo Afonso, Cachoeira de ; Photograph albums ; Grasses ; Botanists ; Botany ; Brazil ; Field notes"
96952,Black-and-white photographs ; Field notes ; Brazil ; Grasses ; Pará ; Botany
97040,Iquitos ; Amazonas ; Botany ; Mexico ; Field notes ; Peru ; Pucallpa ; Brazil
97055,Periodicals ; Serotherapy ; Brazil ; Immunology ; Snakes
97056,Botany ; Field notes ; Brazil ; Mexico
97673,Missouri ; Maryland ; Kentucky ; Louisiana ; United States ; Utah ; District of Columbia ; Arizona ; Nevada ; Field notes ; Virginia ; Brazil ; Connecticut ; New Mexico ; Oklahoma ; California ; Botany
97794,Botany ; Brazil ; Panama ; California ; Idaho ; Field notes ; New Mexico ; Florida ; Texas ; Cuba ; North Carolina ; Arizona ; United States ; Utah ; Mexico
97965,Panama ; Colombia ; Isla Barro Colorado ; Peru ; São Paulo ; Field notes ; Argentina ; Herpetology ; Bogota ; Brazil ; Rio de Janeiro ; Diary
98041,Botany ; Brazil ; Field notes ; California ; Thailand ; United States ; Wyoming ; Ohio ; South Dakota ; Minnesota ; Libya ; Saudi Arabia ; Arabian Peninsula
98102,Field notes ; São Paulo ; Virginia ; France ; Brazil ; United States ; Botany ; Maryland
